Name	Comment	Type	Group	Loc	Orient	Weight
['fd6']	[]	['SEEG']	[]	[[16], [36], [31]]	[]	[[1]]
['fd7']	[]	['SEEG']	[]	[[19], [36], [31]]	[]	[[1]]
['fd8']	[]	['SEEG']	[]	[[22], [36], [31]]	[]	[[1]]
['fd9']	[]	['SEEG']	[]	[[25], [36], [31]]	[]	[[1]]
['fd10']	[]	['SEEG']	[]	[[28], [36], [31]]	[]	[[1]]
['cc21']	[]	['SEEG']	[]	[[1], [18], [29]]	[]	[[1]]
['cc22']	[]	['SEEG']	[]	[[4], [18], [29]]	[]	[[1]]
['cc23']	[]	['SEEG']	[]	[[7], [18], [29]]	[]	[[1]]
['cc24']	[]	['SEEG']	[]	[[10], [18], [29]]	[]	[[1]]
['cc25']	[]	['SEEG']	[]	[[13], [18], [29]]	[]	[[1]]
['cc26']	[]	['SEEG']	[]	[[16], [18], [29]]	[]	[[1]]
['cc27']	[]	['SEEG']	[]	[[19], [18], [29]]	[]	[[1]]
['cc28']	[]	['SEEG']	[]	[[22], [18], [29]]	[]	[[1]]
['cc29']	[]	['SEEG']	[]	[[25], [18], [29]]	[]	[[1]]
['cc210']	[]	['SEEG']	[]	[[28], [18], [29]]	[]	[[1]]
['n1']	[]	['SEEG']	[]	[[2], [10], [45]]	[]	[[1]]
['n2']	[]	['SEEG']	[]	[[5], [10], [45]]	[]	[[1]]
['n3']	[]	['SEEG']	[]	[[8], [10], [45]]	[]	[[1]]
['n4']	[]	['SEEG']	[]	[[11], [10], [45]]	[]	[[1]]
['n5']	[]	['SEEG']	[]	[[14], [10], [45]]	[]	[[1]]
['n6']	[]	['SEEG']	[]	[[17], [10], [45]]	[]	[[1]]
['n7']	[]	['SEEG']	[]	[[20], [10], [45]]	[]	[[1]]
['n8']	[]	['SEEG']	[]	[[23], [10], [45]]	[]	[[1]]
['n9']	[]	['SEEG']	[]	[[26], [10], [45]]	[]	[[1]]
['n10']	[]	['SEEG']	[]	[[29], [10], [45]]	[]	[[1]]
['cp1']	[]	['SEEG']	[]	[[-0.0], [-20.0], [38.0]]	[]	[[1]]
['cp2']	[]	['SEEG']	[]	[[3], [-20], [38]]	[]	[[1]]
['cp3']	[]	['SEEG']	[]	[[6], [-20], [38]]	[]	[[1]]
['cp4']	[]	['SEEG']	[]	[[9], [-20], [38]]	[]	[[1]]
['cp5']	[]	['SEEG']	[]	[[12], [-20], [38]]	[]	[[1]]
['cp6']	[]	['SEEG']	[]	[[15], [-20], [38]]	[]	[[1]]
['cp7']	[]	['SEEG']	[]	[[18], [-20], [38]]	[]	[[1]]
['cp8']	[]	['SEEG']	[]	[[21], [-20], [38]]	[]	[[1]]
['cp9']	[]	['SEEG']	[]	[[24], [-20], [38]]	[]	[[1]]
['cp10']	[]	['SEEG']	[]	[[27], [-20], [38]]	[]	[[1]]
['lp1']	[]	['SEEG']	[]	[[2], [-34], [59]]	[]	[[1]]
['lp2']	[]	['SEEG']	[]	[[5], [-34], [59]]	[]	[[1]]
['lp3']	[]	['SEEG']	[]	[[8], [-34], [59]]	[]	[[1]]
['lp4']	[]	['SEEG']	[]	[[11], [-34], [59]]	[]	[[1]]
['lp5']	[]	['SEEG']	[]	[[14], [-34], [59]]	[]	[[1]]
['lp6']	[]	['SEEG']	[]	[[17], [-34], [59]]	[]	[[1]]
['lp7']	[]	['SEEG']	[]	[[20], [-34], [59]]	[]	[[1]]
['lp8']	[]	['SEEG']	[]	[[23], [-34], [59]]	[]	[[1]]
['lp9']	[]	['SEEG']	[]	[[26], [-34], [59]]	[]	[[1]]
['lp10']	[]	['SEEG']	[]	[[29], [-34], [59]]	[]	[[1]]
['os1']	[]	['SEEG']	[]	[[4], [-2], [34]]	[]	[[1]]
['os2']	[]	['SEEG']	[]	[[5], [-4], [39]]	[]	[[1]]
['os3']	[]	['SEEG']	[]	[[7], [-7], [44]]	[]	[[1]]
['os4']	[]	['SEEG']	[]	[[9], [-9], [49]]	[]	[[1]]
['os5']	[]	['SEEG']	[]	[[11], [-12], [55]]	[]	[[1]]
['os6']	[]	['SEEG']	[]	[[13], [-14], [60]]	[]	[[1]]
